NTA,NTA_Name,Percentage with A/C
QN34,Queens Village,0.1774926168464304
QN35,Briarwood-Jamaica Hills,0.631565078425438
QN37,Kew Gardens Hills,0.7165734735981041
QN38,Pomonok-Flushing Heights-Hillcrest,0.7085183397683398
QN41,Fresh Meadows-Utopia,0.5795454545454546
QN42,Oakland Gardens,0.4751859999413429
QN43,Bellerose,0.852247156844858
QN44,Glen Oaks-Floral Park-New Hyde Park,0.865616487117047
QN45,Douglas Manor-Douglaston-Little Neck,0.9200871459694989
QN46,Bayside-Bayside Hills,0.288741979913457
QN47,Ft. Totten-Bay Terrace-Clearview,0.8018858706273206
QN48,Auburndale,0.9345454545454546
QN49,Whitestone,0.6134407796101949
QN50,Elmhurst-Maspeth,0.989090909090909
QN51,Murray Hill,0.9670601291364003
QN52,East Flushing,0.697089947089947
QN53,Woodhaven,0.6701253378478719
QN54,Richmond Hill,0.8117810781143344
QN55,South Ozone Park,0.7689664420213035
QN56,Ozone Park,1.0
QN57,Lindenwood-Howard Beach,0.9816715542521995
QN60,Kew Gardens,0.25806451612903225
QN61,Jamaica,0.6372071324901514
QN62,Queensboro Hill,0.9134615384615384
QN63,Woodside,0.6475409836065573
QN66,Laurelton,0.8205128205128205
QN68,Queensbridge-Ravenswood-Long Island City,0.6675130299222859
QN70,Astoria,0.7249052674736723
QN71,Old Astoria,0.9853479853479854
QN72,Steinway,0.5288047896112656
QN76,Baisley Park,0.4299489727080667
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,0.9003742204315779
SI05,New Springville-Bloomfield-Travis,0.8532873376623377
SI07,Westerleigh,0.8504611330698286
SI08,Grymes Hill-Clifton-Fox Hills,0.8715805471124621
SI11,Charleston-Richmond Valley-Tottenville,0.8369565217391304
SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,0.9303713527851459
SI14,Grasmere-Arrochar-Ft. Wadsworth,0.8260869565217391
SI22,West New Brighton-New Brighton-St. George,0.7276749930138441
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,0.7514005602240896
SI25,Oakwood-Oakwood Beach,0.9148936170212766
SI28,Port Richmond,0.9805049088359047
SI32,Rossville-Woodrow,1.0
SI35,New Brighton-Silver Lake,0.8414202316011101
SI36,Old Town-Dongan Hills-South Beach,0.7236842105263157
SI37,Stapleton-Rosebank,0.6783314876338131
SI45,New Dorp-Midland Beach,0.5920648681919174
SI48,Arden Heights,0.9903846153846154
SI54,Great Kills,0.8618568722216318
